Combo,Abserrors
"H index_x,Total Docs. (2017),Total Docs. (3years),Citable Docs. (3years)",1.016195062756751
"H index_x,Total Docs. (2017),Total Docs. (3years),Cites / Doc. (2years)",0.33829598028056584
"H index_x,Total Docs. (2017),Total Docs. (3years),Ref. / Doc.",0.9988342588367513
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years)",0.9761014319597575
"H index_x,Total Docs. (2017),Total Refs.,Citable Docs. (3years)",1.025920404541677
"H index_x,Total Docs. (2017),Total Refs.,Cites / Doc. (2years)",0.3357502212182452
"H index_x,Total Docs. (2017),Total Refs.,Ref. / Doc.",1.0140633680866202
"H index_x,Total Docs. (2017),Total Cites (3years),Citable Docs. (3years)",0.8588483491001478
"H index_x,Total Docs. (2017),Total Cites (3years),Cites / Doc. (2years)",0.3342484862204724
"H index_x,Total Docs. (2017),Total Cites (3years),Ref. / Doc.",0.9666716986632784
"H index_x,Total Docs. (2017),Citable Docs. (3years),Cites / Doc. (2years)",0.337913347279586
"H index_x,Total Docs. (2017),Citable Docs. (3years),Ref. / Doc.",0.9953496201535443
"H index_x,Total Docs. (2017),Cites / Doc. (2years),Ref. / Doc.",0.3353441927260532
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years)",0.8824822143150695
"H index_x,Total Docs. (3years),Total Refs.,Citable Docs. (3years)",1.0069166031138757
"H index_x,Total Docs. (3years),Total Refs.,Cites / Doc. (2years)",0.3391602086011712
"H index_x,Total Docs. (3years),Total Refs.,Ref. / Doc.",1.0074707621546053
"H index_x,Total Docs. (3years),Total Cites (3years),Citable Docs. (3years)",0.8421449719335056
"H index_x,Total Docs. (3years),Total Cites (3years),Cites / Doc. (2years)",0.33494059087698025
"H index_x,Total Docs. (3years),Total Cites (3years),Ref. / Doc.",0.8900639620861074
"H index_x,Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.339609903488049
"H index_x,Total Docs. (3years),Citable Docs. (3years),Ref. / Doc.",0.9899816998623462
"H index_x,Total Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.33762512778002046
"H index_x,Total Refs.,Total Cites (3years),Citable Docs. (3years)",0.8709607638214779
"H index_x,Total Refs.,Total Cites (3years),Cites / Doc. (2years)",0.3334872754158945
"H index_x,Total Refs.,Total Cites (3years),Ref. / Doc.",0.9493794000129632
"H index_x,Total Refs.,Citable Docs. (3years),Cites / Doc. (2years)",0.33907929759063404
"H index_x,Total Refs.,Citable Docs. (3years),Ref. / Doc.",1.0046718899063471
"H index_x,Total Refs.,Cites / Doc. (2years),Ref. / Doc.",0.3369528563660051
"H index_x,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.3342578561216673
"H index_x,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.8805555974073864
"H index_x,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.3331900407453339
"H index_x,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.33751997487978386
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years)",0.8805429831211128
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years)",1.1556652195718182
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Cites / Doc. (2years)",0.33702719180308877
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Ref. / Doc.",1.0856116472196744
"Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years)",0.8545984753678652
"Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Cites / Doc. (2years)",0.3343994104710677
"Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Ref. / Doc.",0.856144123319549
"Total Docs. (2017),Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.33887125937482065
"Total Docs. (2017),Total Docs. (3years),Citable Docs. (3years),Ref. / Doc.",1.081237222958624
"Total Docs. (2017),Total Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3375569670449903
"Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years)",0.8737670760869838
"Total Docs. (2017),Total Refs.,Total Cites (3years),Cites / Doc. (2years)",0.3316310043020413
"Total Docs. (2017),Total Refs.,Total Cites (3years),Ref. / Doc.",0.9350237415397
"Total Docs. (2017),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years)",0.3366400376642009
"Total Docs. (2017),Total Refs.,Citable Docs. (3years),Ref. / Doc.",1.0890769679804175
"Total Docs. (2017),Total Refs.,Cites / Doc. (2years),Ref. / Doc.",0.3351563752297284
"Total Docs. (2017),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.333248361444568
"Total Docs. (2017),Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.8487451251199768
"Total Docs. (2017),Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.33308929565986256
"Total Docs. (2017),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3371563680865578
"Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years)",0.8569213532717618
"Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years)",0.3348842560642506
"Total Docs. (3years),Total Refs.,Total Cites (3years),Ref. / Doc.",0.8638914601149811
"Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years)",0.3394654025334845
"Total Docs. (3years),Total Refs.,Citable Docs. (3years),Ref. / Doc.",1.0887646838740435
"Total Docs. (3years),Total Refs.,Cites / Doc. (2years),Ref. / Doc.",0.33763166343101036
"Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.3347311884984745
"Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.8427452730384551
"Total Docs. (3years),Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.33360963194805365
"Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3385520011249261
"Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.33423566284291645
"Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.8584738297465705
"Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.3330771419817065
"Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3374233852269111
"Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3331372274619437
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years)",0.8735533246856299
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years)",1.0071038301456603
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Cites / Doc. (2years)",0.337092310531801
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Ref. / Doc.",0.9988856197722006
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years)",0.836087752137233
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Cites / Doc. (2years)",0.33457573096325544
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Ref. / Doc.",0.8781042218388139
"H index_x,Total Docs. (2017),Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.33895821579902435
"H index_x,Total Docs. (2017),Total Docs. (3years),Citable Docs. (3years),Ref. / Doc.",0.9733807240532348
"H index_x,Total Docs. (2017),Total Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3373979968718869
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years)",0.8588108779921454
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years),Cites / Doc. (2years)",0.331380511284314
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years),Ref. / Doc.",0.950167811494563
"H index_x,Total Docs. (2017),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years)",0.3367268349268638
"H index_x,Total Docs. (2017),Total Refs.,Citable Docs. (3years),Ref. / Doc.",0.995430534765835
"H index_x,Total Docs. (2017),Total Refs.,Cites / Doc. (2years),Ref. / Doc.",0.3357412210301951
"H index_x,Total Docs. (2017),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.33346010888159655
"H index_x,Total Docs. (2017),Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.8636325727796423
"H index_x,Total Docs. (2017),Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.33317930893046094
"H index_x,Total Docs. (2017),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3369944381382261
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years)",0.84310741905096
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years)",0.33466323149709776
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years),Ref. / Doc.",0.8900771774963427
"H index_x,Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years)",0.33965000343612334
"H index_x,Total Docs. (3years),Total Refs.,Citable Docs. (3years),Ref. / Doc.",0.9745355221664803
"H index_x,Total Docs. (3years),Total Refs.,Cites / Doc. (2years),Ref. / Doc.",0.3375784833643139
